dcterms_identifier|dwc_establishmentMeans|dcterms_modified|dwc_organismRemarks|dwc_collectionCode|dwc_catalogNumber|dwc_georeferenceRemarks|dwc_decimalLatitude|dwc_decimalLongitude|geo_alt|dwc_organismName|dwc_organismScope|cameo|notes|suppress
http://bioimages.vanderbilt.edu/ind-baskauf/10643|native|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|36.3837|-87.00724|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/10643||
http://bioimages.vanderbilt.edu/ind-baskauf/10655|native|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|36.38366|-87.00723|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/10655||
http://bioimages.vanderbilt.edu/ind-baskauf/10658|native|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|36.38356|-87.00707|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/10658||
http://bioimages.vanderbilt.edu/ind-baskauf/10661|naturalised|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|36.14602|-86.79836|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/10661||
http://bioimages.vanderbilt.edu/ind-baskauf/10747|native|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|36.38351|-87.00703|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/10747||
http://bioimages.vanderbilt.edu/ind-baskauf/10754|naturalised|2015-07-31T15:56:37-05:00|Individual represents a roadside population.|||Location determined from Google maps.|36.39882|-87.03042|||colony|http://bioimages.vanderbilt.edu/baskauf/10754||
http://bioimages.vanderbilt.edu/ind-baskauf/10773|native|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|36.02117|-86.78855|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/10773||
http://bioimages.vanderbilt.edu/ind-baskauf/10776|adventive|2015-08-02T08:38:45-05:00|adventive|||Location determined from Google maps.|36.02117|-86.78855|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/10781||
http://bioimages.vanderbilt.edu/ind-baskauf/10797|native|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|36.38363|-87.00751|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/10797||
http://bioimages.vanderbilt.edu/ind-baskauf/10832|native|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|36.38357|-87.00735|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/10833||
http://bioimages.vanderbilt.edu/ind-baskauf/10835|native|2015-07-31T15:56:37-05:00|Individual represents small roadside population|||Location determined from Google maps.|36.38324|-87.00449|||colony|http://bioimages.vanderbilt.edu/baskauf/10835||
http://bioimages.vanderbilt.edu/ind-baskauf/10840|adventive|2015-07-31T15:56:37-05:00|adventive|||Location determined from Google maps.|36.38324|-87.00449|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/10841||
http://bioimages.vanderbilt.edu/ind-baskauf/10872|native|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|36.38382|-87.00701|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/10872||
http://bioimages.vanderbilt.edu/ind-baskauf/10882|naturalised|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|36.38361|-87.00707|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/10883||
http://bioimages.vanderbilt.edu/ind-baskauf/10885|native|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|36.38358|-87.0069|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/10889||
http://bioimages.vanderbilt.edu/ind-baskauf/10892|native|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|36.38396|-87.00679|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/10892||
http://bioimages.vanderbilt.edu/ind-baskauf/10893|native|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|36.38396|-87.00679|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/10893||
http://bioimages.vanderbilt.edu/ind-baskauf/10894|native|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|36.38365|-87.00687|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/10894||
http://bioimages.vanderbilt.edu/ind-baskauf/10897|native|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|36.38365|-87.00687|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/10897||
http://bioimages.vanderbilt.edu/ind-baskauf/10901|naturalised|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|36.38422|-87.00642|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/10901||
http://bioimages.vanderbilt.edu/ind-baskauf/10904|naturalised|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|36.38422|-87.00642|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/10904||
http://bioimages.vanderbilt.edu/ind-baskauf/10922|naturalised|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|36.38443|-87.00679|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/10922||
http://bioimages.vanderbilt.edu/ind-baskauf/10925|naturalised|2015-07-31T15:56:37-05:00|Individual represents a small roadside population|||Location determined from Google maps.|36.38443|-87.00679|||colony|http://bioimages.vanderbilt.edu/baskauf/10925||
http://bioimages.vanderbilt.edu/ind-baskauf/10991|native|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|36.38358|-87.0069|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/10991||
http://bioimages.vanderbilt.edu/ind-baskauf/10992|native|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|36.38357|-87.00735|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/10992||
http://bioimages.vanderbilt.edu/ind-baskauf/10997|naturalised|2015-07-31T15:56:37-05:00|Individual represents a small roadside population, no longer extant in 2010|||Location determined from Google maps.|36.1372|-86.79598|||colony|http://bioimages.vanderbilt.edu/baskauf/10997||
http://bioimages.vanderbilt.edu/ind-baskauf/11006|naturalised|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|36.06337|-86.81011|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/11007||
http://bioimages.vanderbilt.edu/ind-baskauf/11010|naturalised|2015-07-31T15:56:37-05:00|Individual represents a small roadside population|||Location determined from Google maps.|36.06337|-86.81011|||colony|http://bioimages.vanderbilt.edu/baskauf/11011||
http://bioimages.vanderbilt.edu/ind-baskauf/11012|naturalised|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|36.06337|-86.81011|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/11012||
