ubioID|dcterms_identifier|dwc_kingdom|dwc_class|dwc_order|dwc_family|dwc_genus|dwc_specificEpithet|dwc_infraspecificEpithet|dwc_taxonRank|dwc_scientificNameAuthorship|dwc_vernacularName|dcterms_modified
467319|42754|Plantae|Liliopsida|Liliales|Liliaceae|Ornithogalum|umbellatum||species|L.|star of Bethlehem|2015-09-21T18:09:43-05:00
460762|34300|Plantae|Magnoliopsida|Scrophulariales|Orobanchaceae|Orobanche|uniflora||species|L.|oneflowered broomrape|2015-09-21T18:09:43-05:00
457085|29789|Plantae|Magnoliopsida|Apiales|Apiaceae|Osmorhiza|claytonii||species|(Michx.) C.B. Clarke|Clayton's sweetroot|2015-09-21T18:09:43-05:00
457087|29791|Plantae|Magnoliopsida|Apiales|Apiaceae|Osmorhiza|longistylis||species|(Torr.) DC.|longstyle sweetroot|2015-09-21T18:09:43-05:00
448522|19511|Plantae|Magnoliopsida|Fagales|Betulaceae|Ostrya|virginiana||species|(Mill.) K. Koch|hophornbeam|2015-09-21T18:09:43-05:00
456452|29083|Plantae|Magnoliopsida|Geraniales|Oxalidaceae|Oxalis|grandis||species|Small|great yellow woodsorrel|2015-09-21T18:09:43-05:00
456456|29090|Plantae|Magnoliopsida|Geraniales|Oxalidaceae|Oxalis|montana||species|Raf.|mountain woodsorrel|2015-09-21T18:09:43-05:00
456457|29091|Plantae|Magnoliopsida|Geraniales|Oxalidaceae|Oxalis|oregana||species|Nutt.|redwood-sorrel|2015-09-21T18:09:43-05:00
474917|504080|Plantae|Magnoliopsida|Geraniales|Oxalidaceae|Oxalis|priceae||species|Small|tufted yellow woodsorrel|2015-09-21T18:09:43-05:00
456461|29095|Plantae|Magnoliopsida|Geraniales|Oxalidaceae|Oxalis|stricta||species|L.|common yellow oxalis|2015-09-21T18:09:43-05:00
456462|29096|Plantae|Magnoliopsida|Geraniales|Oxalidaceae|Oxalis|suksdorfii||species|Trel.|Suksdorf woodsorrel|2015-09-21T18:09:43-05:00
456464|29098|Plantae|Magnoliopsida|Geraniales|Oxalidaceae|Oxalis|violacea||species|L.|violet woodsorrel|2015-09-21T18:09:43-05:00
452085|23690|Plantae|Magnoliopsida|Ericales|Ericaceae|Oxydendrum|arboreum||species|(L.) DC.|sourwood|2015-09-21T18:09:43-05:00
471465|500460|Plantae|Magnoliopsida|Caryophyllales|Cactaceae|Pachycereus|||genus||pachycereus|2015-09-21T18:09:43-05:00
455684|28027|Plantae|Magnoliopsida|Euphorbiales|Buxaceae|Pachysandra|procumbens||species|Michx.|Allegheny-spurge|2015-09-21T18:09:43-05:00
478990|518137|Plantae|Magnoliopsida|Asterales|Asteraceae|Packera|anonyma||species|(Alph. Wood) W.A. Weber & Á. Löve|Small's ragwort|2015-09-21T18:09:43-05:00
478992|518139|Plantae|Magnoliopsida|Asterales|Asteraceae|Packera|aurea||species|(L.) Á. Löve & D. Löve|golden ragwort|2015-09-21T18:09:43-05:00
485742|565358|Plantae|Magnoliopsida|Asterales|Asteraceae|Packera|glabella||species|(Poir.) C. Jeffrey|butterweed|2015-09-21T18:09:43-05:00
485752|565368|Plantae|Magnoliopsida|Asterales|Asteraceae|Packera|obovata||species|(Muhl. ex Willd.) W.A. Weber & Á. Löve|roundleaf ragwort|2015-09-21T18:09:43-05:00
485761|565377|Plantae|Magnoliopsida|Asterales|Asteraceae|Packera|tomentosa||species|(Michx.) C. Jeffrey|woolly ragwort|2015-09-21T18:09:43-05:00
456739|29399|Plantae|Magnoliopsida|Apiales|Araliaceae|Panax|quinquefolius||species|L.|American ginseng|2015-09-21T18:09:43-05:00
447988|18889|Plantae|Magnoliopsida|Papaverales|Papaveraceae|Papaver|dubium||species|L.|blindeyes|2015-09-21T18:09:43-05:00
447992|18893|Plantae|Magnoliopsida|Papaverales|Papaveraceae|Papaver|rhoeas||species|L.|corn poppy|2015-09-21T18:09:43-05:00
485304|26826|Plantae|Magnoliopsida|Fabales|Fabaceae|Parkinsonia|aculeata||species|L.|Jerusalem thorn|2015-09-21T18:09:43-05:00
454700|26827|Plantae|Magnoliopsida|Fabales|Fabaceae|Parkinsonia|florida||species|(Benth. ex A. Gray) S. Watson|blue paloverde|2015-09-21T18:09:43-05:00
454701|26828|Plantae|Magnoliopsida|Fabales|Fabaceae|Parkinsonia|microphylla||species|Torr.|yellow paloverde|2015-09-21T18:09:43-05:00
452493|24204|Plantae|Magnoliopsida|Rosales|Saxifragaceae|Parnassia|asarifolia||species|Vent.|kidneyleaf grass of Parnassus|2015-09-21T18:09:43-05:00
463648|38166|Plantae|Magnoliopsida|Asterales|Asteraceae|Parthenium|integrifolium||species|L.|wild quinine|2015-09-21T18:09:43-05:00
456106|28602|Plantae|Magnoliopsida|Rhamnales|Vitaceae|Parthenocissus|quinquefolia||species|(L.) Planch.|Virginia creeper|2015-09-21T18:09:43-05:00
474969|504139|Plantae|Magnoliopsida|Violales|Passifloraceae|Passiflora|incarnata||species|L.|purple passionflower|2015-09-21T18:09:43-05:00
450814|22226|Plantae|Magnoliopsida|Violales|Passifloraceae|Passiflora|lutea||species|L.|yellow passionflower|2015-09-21T18:09:43-05:00
460106|33460|Plantae|Magnoliopsida|Scrophulariales|Scrophulariaceae|Paulownia|tomentosa||species|(Thunb.) Siebold & Zucc. ex Steud.|princesstree|2015-09-21T18:09:43-05:00
460034|33362|Plantae|Magnoliopsida|Scrophulariales|Scrophulariaceae|Pedicularis|canadensis||species|L.|Canadian lousewort|2015-09-21T18:09:43-05:00
