local identifier,highres sap url
baskauf/10603,http://www.morphbank.net/?id=580838&amp;imgType=jpeg
baskauf/10606,http://www.morphbank.net/?id=580700&amp;imgType=jpeg
baskauf/10611,http://www.morphbank.net/?id=580712&amp;imgType=jpeg
baskauf/10613,http://www.morphbank.net/?id=580711&amp;imgType=jpeg
baskauf/10616,http://www.morphbank.net/?id=580945&amp;imgType=jpeg
baskauf/10617,http://www.morphbank.net/?id=580947&amp;imgType=jpeg
baskauf/10619,http://www.morphbank.net/?id=580946&amp;imgType=jpeg
baskauf/10624,http://www.morphbank.net/?id=581097&amp;imgType=jpeg
baskauf/10626,http://www.morphbank.net/?id=581100&amp;imgType=jpeg
baskauf/10629,http://www.morphbank.net/?id=581048&amp;imgType=jpeg
baskauf/10630,http://www.morphbank.net/?id=581047&amp;imgType=jpeg
baskauf/10635,http://www.morphbank.net/?id=581179&amp;imgType=jpeg
baskauf/10636,http://www.morphbank.net/?id=581177&amp;imgType=jpeg
baskauf/10643,http://www.morphbank.net/?id=581103&amp;imgType=jpeg
baskauf/10651,http://www.morphbank.net/?id=581105&amp;imgType=jpeg
baskauf/10652,http://www.morphbank.net/?id=581104&amp;imgType=jpeg
baskauf/10655,http://www.morphbank.net/?id=581166&amp;imgType=jpeg
baskauf/10658,http://www.morphbank.net/?id=580882&amp;imgType=jpeg
baskauf/10659,http://www.morphbank.net/?id=580881&amp;imgType=jpeg
baskauf/10660,http://www.morphbank.net/?id=581063&amp;imgType=jpeg
baskauf/10661,http://www.morphbank.net/?id=580970&amp;imgType=jpeg
baskauf/10663,http://www.morphbank.net/?id=580968&amp;imgType=jpeg
baskauf/10666,http://www.morphbank.net/?id=580785&amp;imgType=jpeg
baskauf/10667,http://www.morphbank.net/?id=580786&amp;imgType=jpeg
baskauf/10670,http://www.morphbank.net/?id=581191&amp;imgType=jpeg
baskauf/10673,http://www.morphbank.net/?id=580915&amp;imgType=jpeg
baskauf/10674,http://www.morphbank.net/?id=580914&amp;imgType=jpeg
baskauf/10675,http://www.morphbank.net/?id=580722&amp;imgType=jpeg
baskauf/10676,http://www.morphbank.net/?id=580721&amp;imgType=jpeg
baskauf/10677,http://www.morphbank.net/?id=580723&amp;imgType=jpeg
baskauf/10683,http://www.morphbank.net/?id=580913&amp;imgType=jpeg
baskauf/10685,http://www.morphbank.net/?id=580912&amp;imgType=jpeg
